Index,Season,Round,RaceName,Circuit,Track_Type,Weather,Driver,Team,Grid_Position,Finishing_Position
81,2022,5,Miami Grand Prix,Miami,Mid-Circuit,30.617283950617285,LEC,Ferrari,1,2
82,2022,5,Miami Grand Prix,Miami,Mid-Circuit,30.617283950617285,SAI,Ferrari,2,3
83,2022,5,Miami Grand Prix,Miami,Mid-Circuit,30.617283950617285,PER,Red Bull Racing,4,4
84,2022,5,Miami Grand Prix,Miami,Mid-Circuit,30.617283950617285,RUS,Mercedes,12,5
85,2022,5,Miami Grand Prix,Miami,Mid-Circuit,30.617283950617285,HAM,Mercedes,6,6
86,2022,5,Miami Grand Prix,Miami,Mid-Circuit,30.617283950617285,BOT,Alfa Romeo,5,7
87,2022,5,Miami Grand Prix,Miami,Mid-Circuit,30.617283950617285,OCO,Alpine,20,8
88,2022,5,Miami Grand Prix,Miami,Mid-Circuit,30.617283950617285,ALB,Williams,18,9
89,2022,5,Miami Grand Prix,Miami,Mid-Circuit,30.617283950617285,STR,Aston Martin,0,10
90,2022,5,Miami Grand Prix,Miami,Mid-Circuit,30.617283950617285,ALO,Alpine,11,11
91,2022,5,Miami Grand Prix,Miami,Mid-Circuit,30.617283950617285,TSU,AlphaTauri,9,12
92,2022,5,Miami Grand Prix,Miami,Mid-Circuit,30.617283950617285,RIC,McLaren,14,13
93,2022,5,Miami Grand Prix,Miami,Mid-Circuit,30.617283950617285,LAT,Williams,19,14
94,2022,5,Miami Grand Prix,Miami,Mid-Circuit,30.617283950617285,MSC,Haas F1 Team,15,15
95,2022,5,Miami Grand Prix,Miami,Mid-Circuit,30.617283950617285,MAG,Haas F1 Team,16,16
96,2022,5,Miami Grand Prix,Miami,Mid-Circuit,30.617283950617285,VET,Aston Martin,0,17
97,2022,5,Miami Grand Prix,Miami,Mid-Circuit,30.617283950617285,GAS,AlphaTauri,7,18
98,2022,5,Miami Grand Prix,Miami,Mid-Circuit,30.617283950617285,NOR,McLaren,8,19
99,2022,5,Miami Grand Prix,Miami,Mid-Circuit,30.617283950617285,ZHO,Alfa Romeo,17,20
100,2022,6,Spanish Grand Prix,Barcelona,Mid-Circuit,36.56585365853658,VER,Red Bull Racing,2,1
101,2022,6,Spanish Grand Prix,Barcelona,Mid-Circuit,36.56585365853658,PER,Red Bull Racing,5,2
102,2022,6,Spanish Grand Prix,Barcelona,Mid-Circuit,36.56585365853658,RUS,Mercedes,4,3
103,2022,6,Spanish Grand Prix,Barcelona,Mid-Circuit,36.56585365853658,SAI,Ferrari,3,4
104,2022,6,Spanish Grand Prix,Barcelona,Mid-Circuit,36.56585365853658,HAM,Mercedes,6,5
105,2022,6,Spanish Grand Prix,Barcelona,Mid-Circuit,36.56585365853658,BOT,Alfa Romeo,7,6
106,2022,6,Spanish Grand Prix,Barcelona,Mid-Circuit,36.56585365853658,OCO,Alpine,12,7
107,2022,6,Spanish Grand Prix,Barcelona,Mid-Circuit,36.56585365853658,NOR,McLaren,11,8
108,2022,6,Spanish Grand Prix,Barcelona,Mid-Circuit,36.56585365853658,ALO,Alpine,20,9
109,2022,6,Spanish Grand Prix,Barcelona,Mid-Circuit,36.56585365853658,TSU,AlphaTauri,13,10
110,2022,6,Spanish Grand Prix,Barcelona,Mid-Circuit,36.56585365853658,VET,Aston Martin,16,11
111,2022,6,Spanish Grand Prix,Barcelona,Mid-Circuit,36.56585365853658,RIC,McLaren,9,12
112,2022,6,Spanish Grand Prix,Barcelona,Mid-Circuit,36.56585365853658,GAS,AlphaTauri,14,13
113,2022,6,Spanish Grand Prix,Barcelona,Mid-Circuit,36.56585365853658,MSC,Haas F1 Team,10,14
114,2022,6,Spanish Grand Prix,Barcelona,Mid-Circuit,36.56585365853658,STR,Aston Martin,17,15
115,2022,6,Spanish Grand Prix,Barcelona,Mid-Circuit,36.56585365853658,LAT,Williams,19,16
116,2022,6,Spanish Grand Prix,Barcelona,Mid-Circuit,36.56585365853658,MAG,Haas F1 Team,8,17
117,2022,6,Spanish Grand Prix,Barcelona,Mid-Circuit,36.56585365853658,ALB,Williams,18,18
118,2022,6,Spanish Grand Prix,Barcelona,Mid-Circuit,36.56585365853658,ZHO,Alfa Romeo,15,19
119,2022,6,Spanish Grand Prix,Barcelona,Mid-Circuit,36.56585365853658,LEC,Ferrari,1,20
120,2022,7,Monaco Grand Prix,Monaco,Low-Street,22.27469387755102,PER,Red Bull Racing,3,1
121,2022,7,Monaco Grand Prix,Monaco,Low-Street,22.27469387755102,SAI,Ferrari,2,2
122,2022,7,Monaco Grand Prix,Monaco,Low-Street,22.27469387755102,VER,Red Bull Racing,4,3
123,2022,7,Monaco Grand Prix,Monaco,Low-Street,22.27469387755102,LEC,Ferrari,1,4
124,2022,7,Monaco Grand Prix,Monaco,Low-Street,22.27469387755102,RUS,Mercedes,6,5
125,2022,7,Monaco Grand Prix,Monaco,Low-Street,22.27469387755102,NOR,McLaren,5,6
126,2022,7,Monaco Grand Prix,Monaco,Low-Street,22.27469387755102,ALO,Alpine,7,7
127,2022,7,Monaco Grand Prix,Monaco,Low-Street,22.27469387755102,HAM,Mercedes,8,8
128,2022,7,Monaco Grand Prix,Monaco,Low-Street,22.27469387755102,BOT,Alfa Romeo,12,9
129,2022,7,Monaco Grand Prix,Monaco,Low-Street,22.27469387755102,VET,Aston Martin,9,10
130,2022,7,Monaco Grand Prix,Monaco,Low-Street,22.27469387755102,GAS,AlphaTauri,17,11
131,2022,7,Monaco Grand Prix,Monaco,Low-Street,22.27469387755102,OCO,Alpine,10,12
132,2022,7,Monaco Grand Prix,Monaco,Low-Street,22.27469387755102,RIC,McLaren,14,13
133,2022,7,Monaco Grand Prix,Monaco,Low-Street,22.27469387755102,STR,Aston Martin,18,14
134,2022,7,Monaco Grand Prix,Monaco,Low-Street,22.27469387755102,LAT,Williams,19,15
135,2022,7,Monaco Grand Prix,Monaco,Low-Street,22.27469387755102,ZHO,Alfa Romeo,20,16
136,2022,7,Monaco Grand Prix,Monaco,Low-Street,22.27469387755102,TSU,AlphaTauri,11,17
137,2022,7,Monaco Grand Prix,Monaco,Low-Street,22.27469387755102,ALB,Williams,16,18
138,2022,7,Monaco Grand Prix,Monaco,Low-Street,22.27469387755102,MSC,Haas F1 Team,15,19
139,2022,7,Monaco Grand Prix,Monaco,Low-Street,22.27469387755102,MAG,Haas F1 Team,13,20
140,2022,8,Azerbaijan Grand Prix,Baku,Low-Street,25.43540372670808,VER,Red Bull Racing,3,1
141,2022,8,Azerbaijan Grand Prix,Baku,Low-Street,25.43540372670808,PER,Red Bull Racing,2,2
142,2022,8,Azerbaijan Grand Prix,Baku,Low-Street,25.43540372670808,RUS,Mercedes,5,3
143,2022,8,Azerbaijan Grand Prix,Baku,Low-Street,25.43540372670808,HAM,Mercedes,7,4
144,2022,8,Azerbaijan Grand Prix,Baku,Low-Street,25.43540372670808,GAS,AlphaTauri,6,5
145,2022,8,Azerbaijan Grand Prix,Baku,Low-Street,25.43540372670808,VET,Aston Martin,9,6
146,2022,8,Azerbaijan Grand Prix,Baku,Low-Street,25.43540372670808,ALO,Alpine,10,7
147,2022,8,Azerbaijan Grand Prix,Baku,Low-Street,25.43540372670808,RIC,McLaren,12,8
148,2022,8,Azerbaijan Grand Prix,Baku,Low-Street,25.43540372670808,NOR,McLaren,11,9
149,2022,8,Azerbaijan Grand Prix,Baku,Low-Street,25.43540372670808,OCO,Alpine,13,10
150,2022,8,Azerbaijan Grand Prix,Baku,Low-Street,25.43540372670808,BOT,Alfa Romeo,15,11
151,2022,8,Azerbaijan Grand Prix,Baku,Low-Street,25.43540372670808,ALB,Williams,17,12
152,2022,8,Azerbaijan Grand Prix,Baku,Low-Street,25.43540372670808,TSU,AlphaTauri,8,13
153,2022,8,Azerbaijan Grand Prix,Baku,Low-Street,25.43540372670808,MSC,Haas F1 Team,20,14
154,2022,8,Azerbaijan Grand Prix,Baku,Low-Street,25.43540372670808,LAT,Williams,18,15
155,2022,8,Azerbaijan Grand Prix,Baku,Low-Street,25.43540372670808,STR,Aston Martin,19,16
156,2022,8,Azerbaijan Grand Prix,Baku,Low-Street,25.43540372670808,MAG,Haas F1 Team,16,17
157,2022,8,Azerbaijan Grand Prix,Baku,Low-Street,25.43540372670808,ZHO,Alfa Romeo,14,18
158,2022,8,Azerbaijan Grand Prix,Baku,Low-Street,25.43540372670808,LEC,Ferrari,1,19
159,2022,8,Azerbaijan Grand Prix,Baku,Low-Street,25.43540372670808,SAI,Ferrari,4,20
160,2022,9,Canadian Grand Prix,Montreal,High-Street,20.762962962962963,VER,Red Bull Racing,1,1
161,2022,9,Canadian Grand Prix,Montreal,High-Street,20.762962962962963,SAI,Ferrari,3,2
162,2022,9,Canadian Grand Prix,Montreal,High-Street,20.762962962962963,HAM,Mercedes,4,3
